Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000205177.6-ENSG00000167772.10	ENSG00000205177.6	ENSG00000167772.10	0.335036185695	0.335036185695	enet	1	1
ENSG00000124575.6-ENSG00000135094.9	ENSG00000124575.6	ENSG00000135094.9	-0.321756908634	0.321756908634	enet	1	1
ENSG00000204531.14-ENSG00000163739.4	ENSG00000204531.14	ENSG00000163739.4	-0.318518429751	0.318518429751	enet	1	1
ENSG00000205177.6-ENSG00000124107.5	ENSG00000205177.6	ENSG00000124107.5	0.290454425547	0.290454425547	enet	1	1
ENSG00000188293.5-ENSG00000007255.9	ENSG00000188293.5	ENSG00000007255.9	-0.279614647729	0.279614647729	enet	1	1
ENSG00000081041.8-ENSG00000184270.4	ENSG00000081041.8	ENSG00000184270.4	-0.276510791479	0.276510791479	enet	1	1
ENSG00000129988.5-ENSG00000187288.9	ENSG00000129988.5	ENSG00000187288.9	0.270376830138	0.270376830138	enet	1	1
ENSG00000186603.5-ENSG00000158445.7	ENSG00000186603.5	ENSG00000158445.7	-0.261701196112	0.261701196112	enet	1	1
ENSG00000133328.3-ENSG00000278637.1	ENSG00000133328.3	ENSG00000278637.1	0.259688523249	0.259688523249	enet	1	1
ENSG00000108551.4-ENSG00000274267.1	ENSG00000108551.4	ENSG00000274267.1	-0.256813827721	0.256813827721	enet	1	1
ENSG00000129988.5-ENSG00000205420.9	ENSG00000129988.5	ENSG00000205420.9	0.253323093073	0.253323093073	enet	1	1
ENSG00000129988.5-ENSG00000115112.7	ENSG00000129988.5	ENSG00000115112.7	0.253044493144	0.253044493144	enet	1	1
ENSG00000160781.14-ENSG00000129757.11	ENSG00000160781.14	ENSG00000129757.11	-0.252448368055	0.252448368055	enet	1	1
ENSG00000205177.6-ENSG00000157514.15	ENSG00000205177.6	ENSG00000157514.15	0.251949352963	0.251949352963	enet	1	1
ENSG00000056736.8-ENSG00000157514.15	ENSG00000056736.8	ENSG00000157514.15	-0.251206794808	0.251206794808	enet	1	1
ENSG00000129988.5-ENSG00000095752.5	ENSG00000129988.5	ENSG00000095752.5	-0.250590382236	0.250590382236	enet	1	1
ENSG00000204531.14-ENSG00000160888.6	ENSG00000204531.14	ENSG00000160888.6	-0.248380392217	0.248380392217	enet	1	1
ENSG00000129988.5-ENSG00000183671.11	ENSG00000129988.5	ENSG00000183671.11	0.248338900297	0.248338900297	enet	1	1
ENSG00000129988.5-ENSG00000166592.10	ENSG00000129988.5	ENSG00000166592.10	0.246872919454	0.246872919454	enet	1	1
ENSG00000129988.5-ENSG00000129757.11	ENSG00000129988.5	ENSG00000129757.11	0.245950559875	0.245950559875	enet	1	1
ENSG00000160781.14-ENSG00000130513.6	ENSG00000160781.14	ENSG00000130513.6	0.244879391719	0.244879391719	enet	1	1
ENSG00000205177.6-ENSG00000179094.12	ENSG00000205177.6	ENSG00000179094.12	0.243504722417	0.243504722417	enet	1	1
ENSG00000137440.4-ENSG00000183671.11	ENSG00000137440.4	ENSG00000183671.11	-0.241281986947	0.241281986947	enet	1	1
ENSG00000129988.5-ENSG00000134531.8	ENSG00000129988.5	ENSG00000134531.8	0.241231236632	0.241231236632	enet	1	1
ENSG00000129757.11-ENSG00000152086.8	ENSG00000129757.11	ENSG00000152086.8	-0.241163282039	0.241163282039	enet	1	1
ENSG00000205177.6-ENSG00000116741.7	ENSG00000205177.6	ENSG00000116741.7	0.238898363742	0.238898363742	enet	1	1
ENSG00000129988.5-ENSG00000157514.15	ENSG00000129988.5	ENSG00000157514.15	0.23837274453	0.23837274453	enet	1	1
