Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000187566.4-ENSG00000172137.17	ENSG00000187566.4	ENSG00000172137.17	enet	2.0	0.227458683611	0.227458683611	1.0			
ENSG00000205177.6-ENSG00000124107.5	ENSG00000205177.6	ENSG00000124107.5	enet	2.0	0.194342815404	0.194342815404	1.0			
ENSG00000274267.1-ENSG00000278637.1	ENSG00000274267.1	ENSG00000278637.1	enet	2.0	-0.192538565949	0.192538565949	1.0			
ENSG00000205177.6-ENSG00000146250.6	ENSG00000205177.6	ENSG00000146250.6	enet	2.0	-0.187987962182	0.187987962182	1.0			
ENSG00000188293.5-ENSG00000007255.9	ENSG00000188293.5	ENSG00000007255.9	enet	2.0	-0.186087938292	0.186087938292	1.0			
ENSG00000102760.12-ENSG00000117616.16	ENSG00000102760.12	ENSG00000117616.16	enet	2.0	0.182062120117	0.182062120117	1.0			
ENSG00000278637.1-ENSG00000183598.3	ENSG00000278637.1	ENSG00000183598.3	enet	2.0				-0.29348332415	0.29348332415	2.0
ENSG00000124575.6-ENSG00000135094.9	ENSG00000124575.6	ENSG00000135094.9	enet	2.0				-0.255684385342	0.255684385342	2.0
ENSG00000184270.4-ENSG00000146250.6	ENSG00000184270.4	ENSG00000146250.6	enet	2.0				-0.253295850042	0.253295850042	2.0
ENSG00000167772.10-ENSG00000135094.9	ENSG00000167772.10	ENSG00000135094.9	enet	2.0				0.215544277907	0.215544277907	2.0
ENSG00000143320.7-ENSG00000124575.6	ENSG00000143320.7	ENSG00000124575.6	enet	2.0				0.214635003417	0.214635003417	2.0
ENSG00000178150.7-ENSG00000166589.11	ENSG00000178150.7	ENSG00000166589.11	enet	2.0				-0.212928994159	0.212928994159	2.0
ENSG00000178150.7-ENSG00000163283.6	ENSG00000178150.7	ENSG00000163283.6	enet	2.0				-0.2073453868	0.2073453868	2.0
ENSG00000178150.7-ENSG00000039987.5	ENSG00000178150.7	ENSG00000039987.5	enet	2.0				-0.204779563767	0.204779563767	2.0
ENSG00000167772.10-ENSG00000138615.5	ENSG00000167772.10	ENSG00000138615.5	enet	2.0				0.203216772706	0.203216772706	2.0
ENSG00000184270.4-ENSG00000158445.7	ENSG00000184270.4	ENSG00000158445.7	enet	2.0				0.200634918097	0.200634918097	2.0
ENSG00000178150.7-ENSG00000143845.13	ENSG00000178150.7	ENSG00000143845.13	enet	2.0				-0.199949553477	0.199949553477	2.0
ENSG00000278637.1-ENSG00000145569.5	ENSG00000278637.1	ENSG00000145569.5	enet	2.0				0.199606277858	0.199606277858	2.0
ENSG00000278637.1-ENSG00000152779.13	ENSG00000278637.1	ENSG00000152779.13	enet	2.0				0.198757289121	0.198757289121	2.0
ENSG00000184270.4-ENSG00000166589.11	ENSG00000184270.4	ENSG00000166589.11	enet	2.0				0.19453437253	0.19453437253	2.0
ENSG00000278637.1-ENSG00000163283.6	ENSG00000278637.1	ENSG00000163283.6	enet	2.0				0.194178435075	0.194178435075	2.0
ENSG00000167772.10-ENSG00000158445.7	ENSG00000167772.10	ENSG00000158445.7	enet	2.0				0.192634316826	0.192634316826	2.0
ENSG00000142089.14-ENSG00000135094.9	ENSG00000142089.14	ENSG00000135094.9	enet	2.0				0.192236319189	0.192236319189	2.0
ENSG00000278637.1-ENSG00000158445.7	ENSG00000278637.1	ENSG00000158445.7	enet	2.0				0.190272564404	0.190272564404	2.0
ENSG00000278637.1-ENSG00000179046.7	ENSG00000278637.1	ENSG00000179046.7	enet	2.0				-0.190087597853	0.190087597853	2.0
ENSG00000178150.7-ENSG00000107731.11	ENSG00000178150.7	ENSG00000107731.11	enet	2.0				-0.189939628506	0.189939628506	2.0
ENSG00000183598.3-ENSG00000166589.11	ENSG00000183598.3	ENSG00000166589.11	enet	2.0				-0.189904947174	0.189904947174	2.0
ENSG00000007255.9-ENSG00000102760.12	ENSG00000007255.9	ENSG00000102760.12	enet	2.0				-0.187461154333	0.187461154333	2.0
ENSG00000278637.1-ENSG00000129757.11	ENSG00000278637.1	ENSG00000129757.11	enet	2.0				0.187026797413	0.187026797413	2.0
ENSG00000167772.10-ENSG00000187193.8	ENSG00000167772.10	ENSG00000187193.8	enet	2.0				0.186764662612	0.186764662612	2.0
ENSG00000178150.7-ENSG00000138615.5	ENSG00000178150.7	ENSG00000138615.5	enet	2.0				-0.186246758645	0.186246758645	2.0
ENSG00000178150.7-ENSG00000211448.10	ENSG00000178150.7	ENSG00000211448.10	enet	2.0				0.185923594081	0.185923594081	2.0
ENSG00000184270.4-ENSG00000138615.5	ENSG00000184270.4	ENSG00000138615.5	enet	2.0				0.184514464201	0.184514464201	2.0
ENSG00000178150.7-ENSG00000141750.6	ENSG00000178150.7	ENSG00000141750.6	enet	2.0				-0.184234711042	0.184234711042	2.0
ENSG00000178150.7-ENSG00000129757.11	ENSG00000178150.7	ENSG00000129757.11	enet	2.0				-0.181687138067	0.181687138067	2.0
ENSG00000184270.4-ENSG00000205420.9	ENSG00000184270.4	ENSG00000205420.9	enet	2.0				0.181437539445	0.181437539445	2.0
ENSG00000167772.10-ENSG00000129757.11	ENSG00000167772.10	ENSG00000129757.11	enet	2.0				0.181223775524	0.181223775524	2.0
ENSG00000167772.10-ENSG00000173262.10	ENSG00000167772.10	ENSG00000173262.10	enet	2.0				0.180241538142	0.180241538142	2.0
ENSG00000184270.4-ENSG00000129757.11	ENSG00000184270.4	ENSG00000129757.11	enet	2.0				0.179847454603	0.179847454603	2.0
