Cause-Effect	Cause	Effect	Weight	AbsWeight	Test	Lag	Coef
ENSG00000181649.5-ENSG00000166592.10	ENSG00000181649.5	ENSG00000166592.10	1.25338526046	1.25338526046	lasso	1	1
ENSG00000197405.6-ENSG00000129757.11	ENSG00000197405.6	ENSG00000129757.11	1.19551086828	1.19551086828	lasso	1	1
ENSG00000105379.8-ENSG00000039987.5	ENSG00000105379.8	ENSG00000039987.5	1.13018641533	1.13018641533	lasso	1	1
ENSG00000183671.11-ENSG00000096060.13	ENSG00000183671.11	ENSG00000096060.13	1.09679880565	1.09679880565	lasso	1	1
ENSG00000129988.5-ENSG00000205420.9	ENSG00000129988.5	ENSG00000205420.9	1.0923369408	1.0923369408	lasso	1	1
ENSG00000129988.5-ENSG00000115112.7	ENSG00000129988.5	ENSG00000115112.7	1.02956895201	1.02956895201	lasso	1	1
ENSG00000183671.11-ENSG00000145569.5	ENSG00000183671.11	ENSG00000145569.5	1.01593842491	1.01593842491	lasso	1	1
ENSG00000129988.5-ENSG00000187288.9	ENSG00000129988.5	ENSG00000187288.9	1.00985326614	1.00985326614	lasso	1	1
ENSG00000181649.5-ENSG00000141750.6	ENSG00000181649.5	ENSG00000141750.6	1.00815437724	1.00815437724	lasso	1	1
ENSG00000160781.14-ENSG00000138615.5	ENSG00000160781.14	ENSG00000138615.5	-0.973769576733	0.973769576733	lasso	1	1
ENSG00000186603.5-ENSG00000158445.7	ENSG00000186603.5	ENSG00000158445.7	-0.970513824298	0.970513824298	lasso	1	1
ENSG00000181649.5-ENSG00000115112.7	ENSG00000181649.5	ENSG00000115112.7	0.951035500745	0.951035500745	lasso	1	1
ENSG00000129988.5-ENSG00000183671.11	ENSG00000129988.5	ENSG00000183671.11	0.945568242216	0.945568242216	lasso	1	1
ENSG00000160781.14-ENSG00000130513.6	ENSG00000160781.14	ENSG00000130513.6	0.943065873095	0.943065873095	lasso	1	1
ENSG00000124313.11-ENSG00000158104.10	ENSG00000124313.11	ENSG00000158104.10	0.940931408218	0.940931408218	lasso	1	1
ENSG00000183671.11-ENSG00000141750.6	ENSG00000183671.11	ENSG00000141750.6	0.940649108591	0.940649108591	lasso	1	1
ENSG00000176399.3-ENSG00000183598.3	ENSG00000176399.3	ENSG00000183598.3	0.938908677278	0.938908677278	lasso	1	1
ENSG00000250571.5-ENSG00000169429.9	ENSG00000250571.5	ENSG00000169429.9	-0.930816643957	0.930816643957	lasso	1	1
ENSG00000107731.11-ENSG00000166589.11	ENSG00000107731.11	ENSG00000166589.11	0.907435519758	0.907435519758	lasso	1	1
ENSG00000175592.7-ENSG00000205420.9	ENSG00000175592.7	ENSG00000205420.9	0.906620408469	0.906620408469	lasso	1	1
ENSG00000067798.12-ENSG00000166589.11	ENSG00000067798.12	ENSG00000166589.11	0.906331907614	0.906331907614	lasso	1	1
ENSG00000197405.6-ENSG00000120057.4	ENSG00000197405.6	ENSG00000120057.4	0.904946220012	0.904946220012	lasso	1	1
ENSG00000081041.8-ENSG00000124575.6	ENSG00000081041.8	ENSG00000124575.6	-0.897316623701	0.897316623701	lasso	1	1
ENSG00000129757.11-ENSG00000152086.8	ENSG00000129757.11	ENSG00000152086.8	-0.891795916935	0.891795916935	lasso	1	1
ENSG00000160781.14-ENSG00000129757.11	ENSG00000160781.14	ENSG00000129757.11	-0.883789870707	0.883789870707	lasso	1	1
ENSG00000118804.8-ENSG00000205177.6	ENSG00000118804.8	ENSG00000205177.6	0.882998858186	0.882998858186	lasso	1	1
ENSG00000114812.11-ENSG00000146250.6	ENSG00000114812.11	ENSG00000146250.6	0.880743854825	0.880743854825	lasso	1	1
ENSG00000197405.6-ENSG00000096060.13	ENSG00000197405.6	ENSG00000096060.13	0.87504364763	0.87504364763	lasso	1	1
ENSG00000113924.10-ENSG00000141750.6	ENSG00000113924.10	ENSG00000141750.6	0.872041079065	0.872041079065	lasso	1	1
ENSG00000181649.5-ENSG00000137486.15	ENSG00000181649.5	ENSG00000137486.15	0.871835679488	0.871835679488	lasso	1	1
ENSG00000181649.5-ENSG00000096060.13	ENSG00000181649.5	ENSG00000096060.13	0.870844509451	0.870844509451	lasso	1	1
