Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000249992.1-ENSG00000187288.9	ENSG00000249992.1	ENSG00000187288.9	lasso	2.0	-0.660687513493	0.660687513493	1.0			
ENSG00000249992.1-ENSG00000211448.10	ENSG00000249992.1	ENSG00000211448.10	lasso	2.0	0.597884600447	0.597884600447	1.0			
ENSG00000163659.11-ENSG00000108551.4	ENSG00000163659.11	ENSG00000108551.4	lasso	2.0	0.485112614638	0.485112614638	1.0			
ENSG00000188483.7-ENSG00000163739.4	ENSG00000188483.7	ENSG00000163739.4	lasso	2.0	0.468776800515	0.468776800515	1.0			
ENSG00000179094.12-ENSG00000115112.7	ENSG00000179094.12	ENSG00000115112.7	lasso	2.0	0.43995566255	0.43995566255	1.0			
ENSG00000081041.8-ENSG00000184270.4	ENSG00000081041.8	ENSG00000184270.4	lasso	2.0	-0.408742210089	0.408742210089	1.0			
ENSG00000249992.1-ENSG00000166589.11	ENSG00000249992.1	ENSG00000166589.11	lasso	2.0	-0.399699577845	0.399699577845	1.0			
ENSG00000249992.1-ENSG00000132470.12	ENSG00000249992.1	ENSG00000132470.12	lasso	2.0	-0.388085862102	0.388085862102	1.0			
ENSG00000135094.9-ENSG00000175305.15	ENSG00000135094.9	ENSG00000175305.15	lasso	2.0	-0.381068757067	0.381068757067	1.0			
ENSG00000124575.6-ENSG00000108691.8	ENSG00000124575.6	ENSG00000108691.8	lasso	2.0	0.373253470952	0.373253470952	1.0			
ENSG00000118804.8-ENSG00000205177.6	ENSG00000118804.8	ENSG00000205177.6	lasso	2.0	0.37211468467	0.37211468467	1.0			
ENSG00000069188.15-ENSG00000205420.9	ENSG00000069188.15	ENSG00000205420.9	lasso	2.0	0.370905018847	0.370905018847	1.0			
ENSG00000188483.7-ENSG00000169429.9	ENSG00000188483.7	ENSG00000169429.9	lasso	2.0	0.362262740256	0.362262740256	1.0			
ENSG00000069188.15-ENSG00000072071.15	ENSG00000069188.15	ENSG00000072071.15	lasso	2.0	0.343897725187	0.343897725187	1.0			
ENSG00000188747.7-ENSG00000137440.4	ENSG00000188747.7	ENSG00000137440.4	lasso	2.0	0.343490956978	0.343490956978	1.0			
ENSG00000249992.1-ENSG00000167772.10	ENSG00000249992.1	ENSG00000167772.10	lasso	2.0	-0.342061498333	0.342061498333	1.0			
ENSG00000249992.1-ENSG00000151012.12	ENSG00000249992.1	ENSG00000151012.12	lasso	2.0	0.33688441491	0.33688441491	1.0			
ENSG00000174738.11-ENSG00000152527.12	ENSG00000174738.11	ENSG00000152527.12	lasso	2.0	0.335156488833	0.335156488833	1.0			
ENSG00000144749.12-ENSG00000173237.4	ENSG00000144749.12	ENSG00000173237.4	lasso	2.0	-0.33243606681	0.33243606681	1.0			
ENSG00000137440.4-ENSG00000158445.7	ENSG00000137440.4	ENSG00000158445.7	lasso	2.0	-0.329788393451	0.329788393451	1.0			
ENSG00000137198.8-ENSG00000145569.5	ENSG00000137198.8	ENSG00000145569.5	lasso	2.0	0.32893173914	0.32893173914	1.0			
ENSG00000146678.8-ENSG00000168389.16	ENSG00000146678.8	ENSG00000168389.16	lasso	2.0	0.327232415283	0.327232415283	1.0			
ENSG00000205420.9-ENSG00000278637.1	ENSG00000205420.9	ENSG00000278637.1	lasso	2.0	-0.326110776709	0.326110776709	1.0			
ENSG00000124575.6-ENSG00000181634.7	ENSG00000124575.6	ENSG00000181634.7	lasso	2.0	0.325034626539	0.325034626539	1.0			
ENSG00000137198.8-ENSG00000184557.4	ENSG00000137198.8	ENSG00000184557.4	lasso	2.0	0.324658101611	0.324658101611	1.0			
ENSG00000128510.9-ENSG00000197405.6	ENSG00000128510.9	ENSG00000197405.6	lasso	2.0	-0.318369656155	0.318369656155	1.0			
ENSG00000174599.5-ENSG00000184270.4	ENSG00000174599.5	ENSG00000184270.4	lasso	2.0	0.31690120379	0.31690120379	1.0			
ENSG00000137440.4-ENSG00000183671.11	ENSG00000137440.4	ENSG00000183671.11	lasso	2.0	-0.312061470891	0.312061470891	1.0			
ENSG00000135094.9-ENSG00000157111.11	ENSG00000135094.9	ENSG00000157111.11	lasso	2.0	0.310787231948	0.310787231948	1.0			
ENSG00000188483.7-ENSG00000185338.4	ENSG00000188483.7	ENSG00000185338.4	lasso	2.0	-0.310664356171	0.310664356171	1.0			
ENSG00000137440.4-ENSG00000145569.5	ENSG00000137440.4	ENSG00000145569.5	lasso	2.0	-0.310612502118	0.310612502118	1.0			
ENSG00000137440.4-ENSG00000152779.13	ENSG00000137440.4	ENSG00000152779.13	lasso	2.0	-0.309638435073	0.309638435073	1.0			
ENSG00000174738.11-ENSG00000163083.5	ENSG00000174738.11	ENSG00000163083.5	lasso	2.0	0.307867407942	0.307867407942	1.0			
ENSG00000173237.4-ENSG00000183598.3	ENSG00000173237.4	ENSG00000183598.3	lasso	2.0	-0.30678615044	0.30678615044	1.0			
