Cause-Effect	Cause	Effect	Test	Lag	Weight1	AbsWeight1	Coef1	Weight2	AbsWeight2	Coef2
ENSG00000183598.3-ENSG00000274267.1	ENSG00000183598.3	ENSG00000274267.1	ridge	2.0	-0.0502480705801	0.0502480705801	1.0			
ENSG00000274267.1-ENSG00000278637.1	ENSG00000274267.1	ENSG00000278637.1	ridge	2.0	-0.043895352368	0.043895352368	1.0			
ENSG00000124575.6-ENSG00000135094.9	ENSG00000124575.6	ENSG00000135094.9	ridge	2.0	-0.0379269301119	0.0379269301119	1.0	-0.0487247651503	0.0487247651503	2.0
ENSG00000137440.4-ENSG00000183671.11	ENSG00000137440.4	ENSG00000183671.11	ridge	2.0	-0.0377232563496	0.0377232563496	1.0			
ENSG00000124575.6-ENSG00000181634.7	ENSG00000124575.6	ENSG00000181634.7	ridge	2.0	0.0371744571455	0.0371744571455	1.0			
ENSG00000137440.4-ENSG00000152779.13	ENSG00000137440.4	ENSG00000152779.13	ridge	2.0	-0.0369433388282	0.0369433388282	1.0			
ENSG00000137440.4-ENSG00000187288.9	ENSG00000137440.4	ENSG00000187288.9	ridge	2.0	-0.0367787762592	0.0367787762592	1.0			
ENSG00000137440.4-ENSG00000158445.7	ENSG00000137440.4	ENSG00000158445.7	ridge	2.0	-0.0360484011989	0.0360484011989	1.0			
ENSG00000183598.3-ENSG00000124575.6	ENSG00000183598.3	ENSG00000124575.6	ridge	2.0	-0.0356138197534	0.0356138197534	1.0			
ENSG00000183598.3-ENSG00000166589.11	ENSG00000183598.3	ENSG00000166589.11	ridge	2.0				-0.0630184757702	0.0630184757702	2.0
ENSG00000184270.4-ENSG00000146250.6	ENSG00000184270.4	ENSG00000146250.6	ridge	2.0				-0.060537465411	0.060537465411	2.0
ENSG00000278637.1-ENSG00000129757.11	ENSG00000278637.1	ENSG00000129757.11	ridge	2.0				0.0604740465605	0.0604740465605	2.0
ENSG00000183598.3-ENSG00000163283.6	ENSG00000183598.3	ENSG00000163283.6	ridge	2.0				-0.0573278158643	0.0573278158643	2.0
ENSG00000278637.1-ENSG00000183598.3	ENSG00000278637.1	ENSG00000183598.3	ridge	2.0				-0.057312333083	0.057312333083	2.0
ENSG00000183598.3-ENSG00000129757.11	ENSG00000183598.3	ENSG00000129757.11	ridge	2.0				-0.056861694882	0.056861694882	2.0
ENSG00000278637.1-ENSG00000145569.5	ENSG00000278637.1	ENSG00000145569.5	ridge	2.0				0.0564041704549	0.0564041704549	2.0
ENSG00000278637.1-ENSG00000163283.6	ENSG00000278637.1	ENSG00000163283.6	ridge	2.0				0.0562769103602	0.0562769103602	2.0
