FID	IID	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20
GTEX-N7MS-0009-SM-2BWY4	GTEX-N7MS-0009-SM-2BWY4	-0.0217	0.0100	0.0378	0.0100	-0.0232	-0.0050	-0.0093	-0.0000	0.0152	0.0047	0.0158	0.0004	0.0365	0.0186	0.0002	0.0258	0.0190	0.0110	0.0321	0.0412
GTEX-N7MT-0009-SM-2BWYA	GTEX-N7MT-0009-SM-2BWYA	-0.0225	0.0050	0.0533	0.0209	-0.0242	-0.0371	0.0571	0.0090	0.0077	0.0046	0.0104	0.0280	-0.0274	0.0281	-0.0155	0.0065	-0.0302	-0.0538	0.0394	-0.0068
GTEX-NFK9-0004-SM-2BWYG	GTEX-NFK9-0004-SM-2BWYG	0.0973	-0.0054	0.0180	-0.0386	0.0917	-0.1375	-0.2177	-0.0087	0.0641	-0.1577	0.0697	-0.0761	-0.1418	-0.0138	0.1204	-0.0775	-0.0821	0.1015	-0.1192	0.1263
GTEX-NL3H-0009-SM-2BWYN	GTEX-NL3H-0009-SM-2BWYN	0.0756	-0.0353	0.0001	-0.0006	-0.1198	0.3315	-0.0918	-0.2293	-0.1103	0.1978	-0.3188	0.1694	0.0371	0.0433	0.1072	-0.0414	-0.0362	0.0624	0.0462	-0.0729
GTEX-NL4W-0009-SM-2BWZB	GTEX-NL4W-0009-SM-2BWZB	-0.0211	0.0099	0.0438	-0.0486	-0.0075	0.0044	-0.0047	-0.0105	0.0373	0.0255	-0.0055	-0.0031	0.0154	0.0113	-0.0342	0.0283	-0.0139	-0.0035	-0.0199	0.0091
GTEX-NPJ7-0009-SM-2BWYS	GTEX-NPJ7-0009-SM-2BWYS	-0.0200	-0.0194	0.0571	0.0554	0.0142	0.0164	0.0535	0.0013	-0.0140	0.0164	-0.0023	-0.0230	0.0155	0.0409	0.0228	-0.0165	-0.0397	-0.0573	0.0449	-0.0017
GTEX-NPJ8-0004-SM-2BWYM	GTEX-NPJ8-0004-SM-2BWYM	-0.0219	0.0045	0.0015	-0.0123	0.0096	0.0338	-0.0445	0.0167	0.0114	-0.0080	0.0331	0.0118	-0.0477	-0.0154	0.0335	-0.0157	-0.0041	0.0422	-0.0026	0.0018
GTEX-O5YT-0010-SM-325AG	GTEX-O5YT-0010-SM-325AG	-0.0208	0.0069	0.0167	-0.0438	-0.0583	-0.0390	0.0170	-0.0137	0.0274	-0.0007	-0.0251	-0.0282	-0.0031	0.0465	-0.0013	0.0487	0.0280	0.0029	-0.0015	0.0218
GTEX-O5YV-0004-SM-2BWZ5	GTEX-O5YV-0004-SM-2BWZ5	-0.0210	0.0081	-0.0177	0.0057	-0.0180	0.0007	-0.0016	-0.0135	-0.0407	0.0001	0.0077	-0.0001	0.0195	0.0028	0.0178	0.0136	-0.0593	-0.0320	-0.0061	0.0392
GTEX-O5YW-0003-SM-2H2WT	GTEX-O5YW-0003-SM-2H2WT	-0.0113	-0.0256	-0.2239	0.0389	-0.0082	-0.0042	-0.0463	-0.0599	-0.0657	0.0254	0.0357	-0.0429	0.0343	0.0055	0.0570	-0.0624	-0.0295	0.0524	-0.0575	-0.0215
GTEX-OHPK-0003-SM-2H2WX	GTEX-OHPK-0003-SM-2H2WX	0.1208	0.0078	-0.0039	-0.0427	0.1033	-0.1317	-0.0933	-0.0538	0.0121	-0.0692	0.1840	0.0435	0.0487	0.1830	0.1014	0.1153	-0.0138	0.0170	-0.0641	-0.0215
GTEX-OHPL-0003-SM-2BWY5	GTEX-OHPL-0003-SM-2BWY5	-0.0233	0.0055	0.0358	-0.0265	0.0053	0.0005	-0.0148	0.0017	-0.0128	-0.0283	0.0148	-0.0048	-0.0001	-0.0167	0.0071	-0.0008	0.0273	0.0210	-0.0202	0.0060
GTEX-OHPM-0003-SM-2BWYB	GTEX-OHPM-0003-SM-2BWYB	-0.0212	0.0044	-0.0169	-0.0258	-0.0334	-0.0518	0.0090	0.0276	0.0104	0.0182	0.0350	-0.0196	-0.0042	0.0735	-0.0054	-0.0217	-0.0428	0.0025	-0.0237	0.0407
GTEX-OHPN-0004-SM-2BWYH	GTEX-OHPN-0004-SM-2BWYH	-0.0166	0.0056	-0.0607	-0.0122	0.0372	-0.0234	-0.0025	0.0416	-0.0122	-0.0254	0.0118	0.0119	-0.0033	0.0257	-0.0030	0.0226	0.0674	0.0458	-0.0004	-0.0285
GTEX-OIZF-0004-SM-2BWYY	GTEX-OIZF-0004-SM-2BWYY	-0.0218	0.0110	0.0248	-0.0201	-0.0071	-0.0157	0.0378	-0.0006	-0.0289	-0.0086	-0.0491	0.0079	0.0025	-0.0268	0.0197	-0.0124	-0.0458	0.0172	0.0012	-0.0034
GTEX-OIZG-0003-SM-2BWYZ	GTEX-OIZG-0003-SM-2BWYZ	-0.0205	0.0037	-0.0122	-0.0002	0.0239	0.0051	-0.0267	0.0234	0.0470	0.0492	0.0009	0.0097	-0.0572	0.0183	0.0214	-0.0056	0.0133	0.0239	-0.0342	0.0483
