"C1"	"C2"	"C3"
"GTEX.N7MS"	-0.0217	0.01	0.0378
"GTEX.N7MT"	-0.0225	0.005	0.0533
"GTEX.NFK9"	0.0973	-0.0054	0.018
"GTEX.NL3H"	0.0756	-0.0353	1e-04
"GTEX.NL4W"	-0.0211	0.0099	0.0438
"GTEX.NPJ7"	-0.02	-0.0194	0.0571
"GTEX.NPJ8"	-0.0219	0.0045	0.0015
"GTEX.O5YT"	-0.0208	0.0069	0.0167
"GTEX.O5YV"	-0.021	0.0081	-0.0177
"GTEX.O5YW"	-0.0113	-0.0256	-0.2239
"GTEX.OHPK"	0.1208	0.0078	-0.0039
"GTEX.OHPL"	-0.0233	0.0055	0.0358
"GTEX.OHPM"	-0.0212	0.0044	-0.0169
"GTEX.OHPN"	-0.0166	0.0056	-0.0607
"GTEX.OIZF"	-0.0218	0.011	0.0248
"GTEX.OIZG"	-0.0205	0.0037	-0.0122
"GTEX.OIZH"	-0.0123	-0.0178	-0.1342
"GTEX.OIZI"	-0.0217	-5e-04	0.015
"GTEX.OOBJ"	0.129	0.0191	0.0122
"GTEX.OOBK"	-0.0217	0.0106	0.0396
"GTEX.OXRK"	-0.0214	0.0048	0.0019
"GTEX.OXRL"	-0.0229	0.0046	0.0273
"GTEX.OXRN"	-0.022	-4e-04	0.0312
"GTEX.OXRO"	-0.0165	0.0051	-0.0917
"GTEX.OXRP"	-0.0136	-0.0036	-0.1272
"GTEX.P4PP"	-0.0195	0.005	-0.0127
"GTEX.P4PQ"	-0.0203	0.0071	0.0094
"GTEX.P4QR"	-0.016	-0.0575	0.0134
"GTEX.P4QS"	0.1074	-0.0029	0.036
"GTEX.P4QT"	-0.015	-0.0083	-0.1511
"GTEX.P44G"	-0.0134	-0.0206	-0.1874
"GTEX.P44H"	-0.0216	0.0185	0.0254
"GTEX.P78B"	-0.0216	-0.004	0.0222
"GTEX.PLZ4"	-0.0167	0.0037	-0.09
"GTEX.PLZ5"	-0.0219	0.0121	0.0317
"GTEX.PLZ6"	-0.0215	0.0059	0.0017
"GTEX.POMQ"	0.0802	0.0051	0.0174
"GTEX.POYW"	-0.0208	0.0119	0.0108
"GTEX.PSDG"	-0.0232	0.0086	0.009
"GTEX.PVOW"	-0.0201	0.0097	0.0085
"GTEX.PW2O"	-0.0158	0.0074	0.0164
"GTEX.PWCY"	-0.0219	0.0101	0.0094
"GTEX.PWN1"	-0.0211	-3e-04	0.0219
"GTEX.PWO3"	-0.0207	0.0031	0.0228
"GTEX.PWOO"	-0.0202	0.0089	0.0025
"GTEX.PX3G"	-0.0206	0.0024	0.004
"GTEX.Q2AG"	-0.0222	0.0149	0.0294
"GTEX.Q2AH"	0.091	0.0198	0.0282
"GTEX.Q2AI"	-0.0202	0.0115	-0.0366
"GTEX.Q734"	-0.022	0.0175	0.0368
"GTEX.QCQG"	-0.0159	-7e-04	-0.0943
"GTEX.QDT8"	-0.0196	0.0021	-0.023
"GTEX.QDVJ"	-0.024	0.0011	0.0569
"GTEX.QDVN"	-0.0207	0.0012	0.0313
"GTEX.QEG4"	-0.0226	0.003	0.0292
"GTEX.QEG5"	-0.0215	0.0036	-0.0037
"GTEX.QEL4"	-0.0165	-0.0035	-0.0818
"GTEX.QESD"	-0.0217	0.0081	0.0201
"GTEX.QLQ7"	0.0231	-0.5859	0.0208
"GTEX.QLQW"	0.0509	0.0096	4e-04
"GTEX.QMR6"	-0.0202	-0.0074	0.0096
"GTEX.QMRM"	-0.0224	0.0102	0.0433
"GTEX.QV31"	-0.0212	-0.0019	-0.0039
"GTEX.QV44"	-0.0204	-0.0024	0.0104
"GTEX.QVJO"	-0.0196	0.0063	0.0312
"GTEX.QVUS"	-0.0229	-2e-04	0.0086
"GTEX.QXCU"	-0.0229	0.0022	0.0108
"GTEX.R3RS"	-0.0211	0.0018	-0.0027
"GTEX.R45C"	-0.0218	0.0067	0.031
"GTEX.R53T"	0	-0.0117	0.0315
"GTEX.R55C"	-0.0221	0.0109	0.0189
"GTEX.R55D"	0.0116	-0.0869	-0.0597
