snps	gene	statistic	pvalue	FDR	beta	snp_chr	snp_pos	gene_chr	gene_start	gene_end	tissue
rs417929	ENSG00000179909.11	7.29649608026922	3.70471139618749e-12	0.000509217853210288	0.476965418390805	chr16	3313025	chr19	58208735	58220579	adiposesubcutaneous
rs7246400	ENSG00000142621.15	7.14232678552204	9.50036179061456e-12	0.0006529191235674	0.477195147321941	chr19	21909948	chr1	15573768	15726779	adiposesubcutaneous
rs6511291	ENSG00000142621.15	6.98351923776253	2.47305527816182e-11	0.000857247840711908	0.471755668306673	chr19	21950402	chr1	15573768	15726779	adiposesubcutaneous
rs224241	ENSG00000179909.11	6.98206261667961	2.49469324362516e-11	0.000857247840711908	0.48120522941617	chr16	3317036	chr19	58208735	58220579	adiposesubcutaneous
rs220380	ENSG00000179909.11	6.46390394154954	5.12610917033671e-10	0.0140918199983226	0.42771260062171	chr16	3340845	chr19	58208735	58220579	adiposesubcutaneous
rs417929	ENSG00000083814.8	6.40551005451709	7.13635439108875e-10	0.0163483677681241	0.447183840894306	chr16	3313025	chr19	58231119	58238992	adiposesubcutaneous
rs770658	ENSG00000233574.1	-6.06971130075918	4.59516371666379e-09	0.0902302559676296	-0.393032435828473	chr2	198669871	chr22	27672201	27682310	adiposesubcutaneous
rs10265256	ENSG00000160678.7	-6.8861576371939	4.49005467957438e-10	0.026426525732397	-0.550496422970633	chr7	134729244	chr1	153600402	153604513	adrenalgland
rs10820602	ENSG00000110768.7	-7.64073271916282	1.06924173733309e-10	0.00661186435724125	-0.449480477263836	chr9	106861282	chr11	18343842	18388591	braincerebellarhemisphere
rs3094317	ENSG00000071994.6	-7.49136503257148	7.48309350944398e-11	0.00593782953640928	-1.3273796210451	chr1	739528	chr6	170884383	170893780	braincerebellum
rs6438652	ENSG00000169032.5	-6.71515630374058	3.89244074130086e-09	0.0416316583351944	-0.260761592224242	chr3	121480375	chr15	66679155	66784650	brainnucleusaccumbensbasalganglia
rs4676744	ENSG00000169032.5	-6.71515630374058	3.89244074130086e-09	0.0416316583351944	-0.260761592224242	chr3	121481801	chr15	66679155	66784650	brainnucleusaccumbensbasalganglia
